# NeoForge -> Fabric/shim class mapping table (TSV: old_fqcn, new_fqcn, [mode])
# Rule: shim classes keep the NeoForge simple name so only import lines change.
# Phase 1 "easy" mappings — extended as phases land.

# --- loader / environment ---
net.neoforged.fml.ModList	mekanism.fabric_shim.fml.ModList
net.neoforged.fml.loading.FMLEnvironment	mekanism.fabric_shim.fml.FMLEnvironment
net.neoforged.api.distmarker.Dist	mekanism.fabric_shim.distmarker.Dist
net.neoforged.api.distmarker.OnlyIn	mekanism.fabric_shim.distmarker.OnlyIn

# --- fake player (Fabric API ships one; shim adapts constructor surface) ---
net.neoforged.neoforge.common.util.FakePlayer	mekanism.fabric_shim.util.FakePlayer

# --- server lifecycle ---
net.neoforged.neoforge.server.ServerLifecycleHooks	mekanism.fabric_shim.server.ServerLifecycleHooks

# --- event bus: NO remap needed ---
# net.neoforged.bus.api.* (IEventBus/Event/EventPriority/SubscribeEvent/ICancellableEvent) stays
# unchanged: the port depends on NeoForge's standalone bus library (net.neoforged:bus, JiJ'd).

# --- registries (Phase 1: shim replays the NeoForge registration lifecycle on the mod bus) ---
net.neoforged.neoforge.registries.DeferredRegister	mekanism.fabric_shim.registries.DeferredRegister
net.neoforged.neoforge.registries.DeferredHolder	mekanism.fabric_shim.registries.DeferredHolder
net.neoforged.neoforge.registries.RegistryBuilder	mekanism.fabric_shim.registries.RegistryBuilder
net.neoforged.neoforge.registries.RegisterEvent	mekanism.fabric_shim.registries.RegisterEvent
net.neoforged.neoforge.registries.NewRegistryEvent	mekanism.fabric_shim.registries.NewRegistryEvent
net.neoforged.fml.event.IModBusEvent	mekanism.fabric_shim.fml.event.IModBusEvent

# --- game event bus holder ---
net.neoforged.neoforge.common.NeoForge	mekanism.fabric_shim.common.NeoForge

# --- config ---
# NO remap needed: Forge Config API Port (Fabric) provides net.neoforged.neoforge.common.ModConfigSpec
# and friends under their original package names. Only the registration call site changes
# (ModContainer#registerConfig -> fuzs.forgeconfigapiport.fabric.api.neoforge.v4.NeoForgeConfigRegistry),
# which is a hand edit in the entry point, not a scripted transform.
