Class,Method Name,Params,Returns,Restriction,Requires Public Security,Description
BoilerMultiblockData,getBoilCapacity,,long,,false,
BoilerMultiblockData,getBoilRate,,int,,false,
BoilerMultiblockData,getCooledCoolant,,Table,,false,
BoilerMultiblockData,getCooledCoolantCapacity,,long,,false,
BoilerMultiblockData,getCooledCoolantFilledPercentage,,double,,false,
BoilerMultiblockData,getCooledCoolantNeeded,,long,,false,
BoilerMultiblockData,getEnvironmentalLoss,,double,,false,
BoilerMultiblockData,getHeatedCoolant,,Table,,false,
BoilerMultiblockData,getHeatedCoolantCapacity,,long,,false,
BoilerMultiblockData,getHeatedCoolantFilledPercentage,,double,,false,
BoilerMultiblockData,getHeatedCoolantNeeded,,long,,false,
BoilerMultiblockData,getMaxBoilRate,,int,,false,
BoilerMultiblockData,getSteam,,Table,,false,
BoilerMultiblockData,getSteamCapacity,,long,,false,
BoilerMultiblockData,getSteamFilledPercentage,,double,,false,
BoilerMultiblockData,getSteamNeeded,,long,,false,
BoilerMultiblockData,getSuperheaters,,int,,false,
BoilerMultiblockData,getTemperature,,double,,false,
BoilerMultiblockData,getWater,,Table,,false,
BoilerMultiblockData,getWaterCapacity,,int,,false,
BoilerMultiblockData,getWaterFilledPercentage,,double,,false,
BoilerMultiblockData,getWaterNeeded,,int,,false,
EvaporationMultiblockData,getActiveSolars,,int,,false,
EvaporationMultiblockData,getEnvironmentalLoss,,double,,false,
EvaporationMultiblockData,getInput,,Table,,false,
EvaporationMultiblockData,getInputCapacity,,int,,false,
EvaporationMultiblockData,getInputFilledPercentage,,double,,false,
EvaporationMultiblockData,getInputItemInput,,Table,,false,
EvaporationMultiblockData,getInputItemOutput,,Table,,false,
EvaporationMultiblockData,getInputNeeded,,int,,false,
EvaporationMultiblockData,getOutput,,Table,,false,
EvaporationMultiblockData,getOutputCapacity,,int,,false,
EvaporationMultiblockData,getOutputFilledPercentage,,double,,false,
EvaporationMultiblockData,getOutputItemInput,,Table,,false,
EvaporationMultiblockData,getOutputItemOutput,,Table,,false,
EvaporationMultiblockData,getOutputNeeded,,int,,false,
EvaporationMultiblockData,getProductionAmount,,double,,false,
EvaporationMultiblockData,getTemperature,,double,,false,
IFilter,getFilterType,,"MINER_ITEMSTACK_FILTER, MINER_MODID_FILTER, MINER_TAG_FILTER, SORTER_ITEMSTACK_FILTER, SORTER_MODID_FILTER, SORTER_TAG_FILTER, OREDICTIONIFICATOR_ITEM_FILTER, QIO_ITEMSTACK_FILTER, QIO_MODID_FILTER, QIO_TAG_FILTER",,false,
IFilter,isEnabled,,boolean,,false,
IFilter,setEnabled,arg0,,,false,
IItemStackFilter,getItemStack,,Table,,false,
