Class,Method Name,Params,Returns,Restriction,Requires Public Security,Description
API Global: computerEnergyHelper,euToJoules,eu: Number (FloatingLong),Number (FloatingLong),,false,
API Global: computerEnergyHelper,feToJoules,fe: Number (FloatingLong),Number (FloatingLong),,false,
API Global: computerEnergyHelper,joulesToEU,joules: Number (FloatingLong),Number (FloatingLong),,false,
API Global: computerEnergyHelper,joulesToFE,joules: Number (FloatingLong),Number (FloatingLong),,false,
API Global: computerFilterHelper,createMinerItemFilter,item: String (Item),Table (MinerItemStackFilter),,false,
API Global: computerFilterHelper,createMinerModIdFilter,modId: String,Table (MinerModIDFilter),,false,
API Global: computerFilterHelper,createMinerTagFilter,tag: String,Table (MinerTagFilter),,false,
API Global: computerFilterHelper,createOredictionificatorItemFilter,filterTag: String (ResourceLocation),Table (OredictionificatorItemFilter),,false,
API Global: computerFilterHelper,createOredictionificatorItemFilter,"filterTag: String (ResourceLocation), selectedOutput: String (Item)",Table (OredictionificatorItemFilter),,false,
API Global: computerFilterHelper,createQIOItemFilter,item: String (Item),Table (QIOItemStackFilter),,false,
API Global: computerFilterHelper,createQIOModIdFilter,modId: String,Table (QIOModIDFilter),,false,
API Global: computerFilterHelper,createQIOTagFilter,tag: String,Table (QIOTagFilter),,false,
API Global: computerFilterHelper,createSorterItemFilter,item: String (Item),Table (SorterItemStackFilter),,false,
API Global: computerFilterHelper,createSorterModIdFilter,modId: String,Table (SorterModIDFilter),,false,
API Global: computerFilterHelper,createSorterTagFilter,tag: String,Table (SorterTagFilter),,false,
Antiprotonic Nucleosynthesizer,getEnergyItem,,Table (ItemStack),,false,
Antiprotonic Nucleosynthesizer,getEnergyUsage,,Number (FloatingLong),,false,
Antiprotonic Nucleosynthesizer,getInputChemical,,Table (ChemicalStack),,false,
Antiprotonic Nucleosynthesizer,getInputChemicalCapacity,,Number (long),,false,
Antiprotonic Nucleosynthesizer,getInputChemicalFilledPercentage,,Number (double),,false,
Antiprotonic Nucleosynthesizer,getInputChemicalItem,,Table (ItemStack),,false,
Antiprotonic Nucleosynthesizer,getInputChemicalNeeded,,Number (long),,false,
Antiprotonic Nucleosynthesizer,getInputItem,,Table (ItemStack),,false,
Antiprotonic Nucleosynthesizer,getOutputItem,,Table (ItemStack),,false,
Bin,getCapacity,,Number (int),,false,
Bin,getLock,,Table (ItemStack),,false,
Bin,getStored,,Table (ItemStack),,false,
Bin,isLocked,,boolean,,false,
Bin,lock,,,,false,"Must not be creative, empty, or already locked"
Bin,unlock,,,,false,"Must not be creative, or unlocked"
Bio Generator,getBioFuel,,Table (FluidStack),,false,
Bio Generator,getBioFuelCapacity,,Number (int),,false,
Bio Generator,getBioFuelFilledPercentage,,Number (double),,false,
Bio Generator,getBioFuelNeeded,,Number (int),,false,
Bio Generator,getEnergyItem,,Table (ItemStack),,false,
Bio Generator,getFuelItem,,Table (ItemStack),,false,
Bio Generator,getProductionRate,,Number (FloatingLong),,false,
Boiler Multiblock (formed),getBoilCapacity,,Number (long),,false,
Boiler Multiblock (formed),getBoilRate,,Number (int),,false,
Boiler Multiblock (formed),getCooledCoolant,,Table (ChemicalStack),,false,
Boiler Multiblock (formed),getCooledCoolantCapacity,,Number (long),,false,
Boiler Multiblock (formed),getCooledCoolantFilledPercentage,,Number (double),,false,
Boiler Multiblock (formed),getCooledCoolantNeeded,,Number (long),,false,
Boiler Multiblock (formed),getEnvironmentalLoss,,Number (double),,false,
Boiler Multiblock (formed),getHeatedCoolant,,Table (ChemicalStack),,false,
Boiler Multiblock (formed),getHeatedCoolantCapacity,,Number (long),,false,
Boiler Multiblock (formed),getHeatedCoolantFilledPercentage,,Number (double),,false,
Boiler Multiblock (formed),getHeatedCoolantNeeded,,Number (long),,false,
Boiler Multiblock (formed),getMaxBoilRate,,Number (int),,false,
Boiler Multiblock (formed),getSteam,,Table (ChemicalStack),,false,
Boiler Multiblock (formed),getSteamCapacity,,Number (long),,false,
Boiler Multiblock (formed),getSteamFilledPercentage,,Number (double),,false,
Boiler Multiblock (formed),getSteamNeeded,,Number (long),,false,
Boiler Multiblock (formed),getSuperheaters,,Number (int),,false,
Boiler Multiblock (formed),getTemperature,,Number (double),,false,
Boiler Multiblock (formed),getWater,,Table (FluidStack),,false,
Boiler Multiblock (formed),getWaterCapacity,,Number (int),,false,
Boiler Multiblock (formed),getWaterFilledPercentage,,Number (double),,false,
Boiler Multiblock (formed),getWaterNeeded,,Number (int),,false,
Boiler Valve,decrementMode,,,,false,
Boiler Valve,getMode,,String (BoilerValveMode),,false,
Boiler Valve,incrementMode,,,,false,
Boiler Valve,setMode,mode: String (BoilerValveMode),,,false,
Chemical Crystallizer,getEnergyItem,,Table (ItemStack),,false,
Chemical Crystallizer,getEnergyUsage,,Number (FloatingLong),,false,
Chemical Crystallizer,getInput,,Table (ChemicalStack),,false,
Chemical Crystallizer,getInputCapacity,,Number (long),,false,
Chemical Crystallizer,getInputFilledPercentage,,Number (double),,false,
Chemical Crystallizer,getInputItem,,Table (ItemStack),,false,
Chemical Crystallizer,getInputNeeded,,Number (long),,false,
Chemical Crystallizer,getOutput,,Table (ItemStack),,false,
Chemical Dissolution Chamber,getEnergyItem,,Table (ItemStack),,false,
Chemical Dissolution Chamber,getEnergyUsage,,Number (FloatingLong),,false,
Chemical Dissolution Chamber,getGasInput,,Table (ChemicalStack),,false,
Chemical Dissolution Chamber,getGasInputCapacity,,Number (long),,false,
Chemical Dissolution Chamber,getGasInputFilledPercentage,,Number (double),,false,
Chemical Dissolution Chamber,getGasInputNeeded,,Number (long),,false,
Chemical Dissolution Chamber,getInputGasItem,,Table (ItemStack),,false,
Chemical Dissolution Chamber,getInputItem,,Table (ItemStack),,false,
Chemical Dissolution Chamber,getOutput,,Table (ChemicalStack),,false,
Chemical Dissolution Chamber,getOutputCapacity,,Number (long),,false,
Chemical Dissolution Chamber,getOutputFilledPercentage,,Number (double),,false,
Chemical Dissolution Chamber,getOutputItem,,Table (ItemStack),,false,
Chemical Dissolution Chamber,getOutputNeeded,,Number (long),,false,
Chemical Infuser,getEnergyItem,,Table (ItemStack),,false,
Chemical Infuser,getEnergyUsage,,Number (FloatingLong),,false,
Chemical Infuser,getLeftInput,,Table (ChemicalStack),,false,
Chemical Infuser,getLeftInputCapacity,,Number (long),,false,
Chemical Infuser,getLeftInputFilledPercentage,,Number (double),,false,
Chemical Infuser,getLeftInputItem,,Table (ItemStack),,false,
Chemical Infuser,getLeftInputNeeded,,Number (long),,false,
Chemical Infuser,getOutput,,Table (ChemicalStack),,false,
Chemical Infuser,getOutputCapacity,,Number (long),,false,
Chemical Infuser,getOutputFilledPercentage,,Number (double),,false,
Chemical Infuser,getOutputItem,,Table (ItemStack),,false,
Chemical Infuser,getOutputNeeded,,Number (long),,false,
Chemical Infuser,getRightInput,,Table (ChemicalStack),,false,
Chemical Infuser,getRightInputCapacity,,Number (long),,false,
Chemical Infuser,getRightInputFilledPercentage,,Number (double),,false,
Chemical Infuser,getRightInputItem,,Table (ItemStack),,false,
Chemical Infuser,getRightInputNeeded,,Number (long),,false,
Chemical Oxidizer,getEnergyItem,,Table (ItemStack),,false,
Chemical Oxidizer,getEnergyUsage,,Number (FloatingLong),,false,
Chemical Oxidizer,getInput,,Table (ItemStack),,false,
Chemical Oxidizer,getOutput,,Table (ChemicalStack),,false,
Chemical Oxidizer,getOutputCapacity,,Number (long),,false,
Chemical Oxidizer,getOutputFilledPercentage,,Number (double),,false,
Chemical Oxidizer,getOutputItem,,Table (ItemStack),,false,
Chemical Oxidizer,getOutputNeeded,,Number (long),,false,
Chemical Tank,decrementDumpingMode,,,,true,
Chemical Tank,getCapacity,,Number (long),,false,
Chemical Tank,getDrainItem,,Table (ItemStack),,false,
Chemical Tank,getDumpingMode,,String (GasMode),,false,
Chemical Tank,getFillItem,,Table (ItemStack),,false,
Chemical Tank,getFilledPercentage,,Number (double),,false,
Chemical Tank,getNeeded,,Number (long),,false,
Chemical Tank,getStored,,Table (ChemicalStack),,false,
Chemical Tank,incrementDumpingMode,,,,true,
Chemical Tank,setDumpingMode,mode: String (GasMode),,,true,
Chemical Washer,getEnergyItem,,Table (ItemStack),,false,
Chemical Washer,getEnergyUsage,,Number (FloatingLong),,false,
Chemical Washer,getFluid,,Table (FluidStack),,false,
Chemical Washer,getFluidCapacity,,Number (int),,false,
Chemical Washer,getFluidFilledPercentage,,Number (double),,false,
Chemical Washer,getFluidItemInput,,Table (ItemStack),,false,
Chemical Washer,getFluidItemOutput,,Table (ItemStack),,false,
Chemical Washer,getFluidNeeded,,Number (int),,false,
